 ,Mean,Min,Max,Slice,microns
1,982,0,2221,1,0
2,802,0,2784,2,1
3,857,0,3127,3,2
4,1011,0,2988,4,3
5,966,0,3467,5,4
6,991,0,4027,6,5
7,974,0,4078,7,6
8,860,0,3528,8,7
9,968,0,4004,9,8
10,992,0,4225,10,9
11,931,0,3942,11,10
12,841,0,3466,12,11
13,951,0,2724,13,12
14,952,0,3015,14,13
15,1074,0,2579,15,14
16,1023,0,3693,16,15
17,1203,0,4348,17,16
18,1207,0,4337,18,17
19,1057,0,4965,19,18
20,1055,0,5053,20,19
21,1106,0,4477,21,20
22,1007,0,3652,22,21
23,1041,0,3239,23,22
24,965,0,3315,24,23
25,967,0,2327,25,24
26,878,0,2569,26,25
27,988,0,2818,27,26
28,987,0,3214,28,27
29,987,0,3353,29,28
30,963,0,2950,30,29
31,1076,0,2338,31,30
32,1098,0,2837,32,31
33,959,0,2387,33,32
34,935,0,2176,34,33
35,1147,34,2257,35,34
36,1160,0,2794,36,35
37,1154,0,2786,37,36
38,1258,0,3275,38,37
39,1279,0,3460,39,38
40,1177,0,3151,40,39
