 ,Mean,Min,Max,Slice,microns
1,749,0,2493,1,0
2,526,0,2266,2,1
3,727,0,2223,3,2
4,986,0,2499,4,3
5,827,0,2568,5,4
6,736,0,2187,6,5
7,930,0,2634,7,6
8,761,0,3530,8,7
9,992,0,2766,9,8
10,753,0,2956,10,9
11,744,0,2407,11,10
12,866,0,2253,12,11
13,702,0,2038,13,12
14,786,0,2157,14,13
15,851,0,2365,15,14
16,820,0,2845,16,15
17,932,0,3104,17,16
18,981,0,2468,18,17
19,760,0,2346,19,18
20,814,0,2370,20,19
21,729,0,3078,21,20
22,877,0,3544,22,21
23,921,0,3646,23,22
24,765,0,2869,24,23
25,805,0,3138,25,24
26,857,0,2987,26,25
27,920,0,3084,27,26
28,808,0,3342,28,27
29,919,0,4235,29,28
30,833,0,4229,30,29
31,854,0,3681,31,30
32,654,0,2176,32,31
33,676,0,2146,33,32
34,662,0,2420,34,33
35,952,0,2318,35,34
36,793,0,2500,36,35
37,757,0,2371,37,36
38,723,0,2849,38,37
39,926,0,2307,39,38
40,858,0,2991,40,39
