 ,Mean,Min,Max,Slice,microns
1,797,0,2189,1,0
2,702,0,2305,2,1
3,832,0,2387,3,2
4,841,0,3418,4,3
5,802,0,3445,5,4
6,860,0,4050,6,5
7,755,0,3472,7,6
8,951,0,3228,8,7
9,809,0,3621,9,8
10,944,0,3098,10,9
11,922,0,2640,11,10
12,786,0,2745,12,11
13,843,0,2276,13,12
14,798,0,2709,14,13
15,839,0,2070,15,14
16,739,0,2501,16,15
17,834,0,3061,17,16
18,962,0,3394,18,17
19,861,0,3420,19,18
20,908,0,3433,20,19
21,931,0,3357,21,20
22,987,0,3419,22,21
23,948,0,3086,23,22
24,791,0,2892,24,23
25,803,0,2899,25,24
26,799,0,3001,26,25
27,916,0,3530,27,26
28,956,0,2666,28,27
29,748,0,2332,29,28
30,839,0,2541,30,29
31,900,0,3093,31,30
32,898,0,3597,32,31
33,884,0,3551,33,32
34,840,0,3120,34,33
35,933,0,3491,35,34
36,912,0,3420,36,35
37,973,0,3644,37,36
38,853,0,3268,38,37
39,895,0,3479,39,38
40,924,0,2966,40,39
