 ,Mean,Min,Max,Slice,microns
1,1139,0,2816,1,0
2,890,21,4409,2,1
3,889,0,4285,3,2
4,947,0,3632,4,3
5,1127,0,4414,5,4
6,1096,0,4710,6,5
7,933,0,3740,7,6
8,935,0,4186,8,7
9,956,0,3781,9,8
10,1442,0,5917,10,9
11,1071,0,7029,11,10
12,1154,0,5558,12,11
13,1038,0,6976,13,12
14,1094,20,5289,14,13
15,1122,0,5285,15,14
16,992,0,5745,16,15
17,877,0,3745,17,16
18,1079,0,3892,18,17
19,1125,0,4424,19,18
20,989,0,5229,20,19
21,995,0,4722,21,20
22,853,0,3814,22,21
23,948,0,4015,23,22
24,866,0,5473,24,23
25,975,0,5128,25,24
26,991,0,5435,26,25
27,1168,0,5295,27,26
28,929,0,5406,28,27
29,939,0,4863,29,28
30,997,0,5324,30,29
31,1099,0,4974,31,30
32,993,0,3833,32,31
33,1095,0,5967,33,32
34,1208,0,8059,34,33
35,1045,0,5409,35,34
36,1010,0,3717,36,35
37,927,0,3631,37,36
38,899,0,4540,38,37
39,917,0,5828,39,38
40,1071,0,5654,40,39
