 ,Mean,Min,Max,Slice,microns
1,698,0,2039,1,0
2,713,0,3214,2,1
3,727,0,3837,3,2
4,720,0,3323,4,3
5,711,0,3169,5,4
6,834,0,3768,6,5
7,838,0,3841,7,6
8,864,0,4200,8,7
9,865,0,4132,9,8
10,841,0,4303,10,9
11,856,0,4172,11,10
12,775,0,4126,12,11
13,803,0,3526,13,12
14,747,0,2700,14,13
15,824,0,3339,15,14
16,700,0,3576,16,15
17,776,0,3575,17,16
18,698,0,4016,18,17
19,795,0,2819,19,18
20,742,0,3837,20,19
21,676,0,4206,21,20
22,809,0,4018,22,21
23,767,0,3922,23,22
24,761,0,3672,24,23
25,740,0,3644,25,24
26,728,0,4943,26,25
27,823,0,5754,27,26
28,804,0,4758,28,27
29,872,0,5243,29,28
30,853,0,3976,30,29
31,693,0,2909,31,30
32,836,0,3861,32,31
33,891,0,4402,33,32
34,717,0,4526,34,33
35,1003,0,4355,35,34
36,977,0,5290,36,35
37,791,0,5879,37,36
38,780,0,5113,38,37
39,717,0,4202,39,38
40,836,0,3910,40,39
