 ,Mean,Min,Max,Ch,Frame
1,2443,1920,3242,1,1
2,2337,1864,3158,1,2
3,2382,1870,3760,1,3
4,2370,1846,3068,1,4
5,2255,1815,2769,1,5
6,2248,1769,2961,1,6
7,2188,1745,2648,1,7
8,2222,1768,2637,1,8
9,2252,1812,2910,1,9
10,2264,1825,3052,1,10
11,2251,1794,3080,1,11
12,2344,1856,3388,1,12
13,2365,1709,3248,1,13
14,2293,1806,3004,1,14
15,2254,1829,3387,1,15
16,2335,1828,3330,1,16
17,2171,1758,2619,1,17
18,2179,1727,2697,1,18
19,2121,1738,2605,1,19
20,2187,1761,2805,1,20
21,2162,1750,2646,1,21
22,2229,1718,3342,1,22
23,2291,1786,3555,1,23
24,2378,1831,3559,1,24
25,2388,1769,3680,1,25
26,2394,1771,4048,1,26
27,2584,1815,4799,1,27
28,2469,1841,4411,1,28
29,2487,1824,4713,1,29
30,2358,1732,4243,1,30
31,2365,1798,4078,1,31
32,2485,1833,5378,1,32
33,2510,1760,4767,1,33
34,2575,1785,5153,1,34
35,2421,1733,5143,1,35
36,2437,1736,5339,1,36
37,2378,1746,4733,1,37
38,2276,1753,4277,1,38
39,2410,1820,5023,1,39
40,2507,1754,5824,1,40
41,2499,1724,5966,1,41
42,2527,1802,6311,1,42
43,2542,1682,5959,1,43
44,2503,1746,5426,1,44
45,2541,1679,6276,1,45
46,2379,1751,4968,1,46
47,2391,1763,4281,1,47
48,2273,1654,3711,1,48
49,2299,1686,4719,1,49
50,2263,1741,4177,1,50
51,2310,1784,4073,1,51
52,2175,1646,3851,1,52
53,2298,1739,3592,1,53
54,2423,1778,5166,1,54
55,2562,1772,6245,1,55
56,2540,1813,5638,1,56
57,2455,1814,5018,1,57
58,2455,1785,5356,1,58
59,2510,1789,5677,1,59
60,2415,1665,4918,1,60
61,2538,1775,6521,1,61
62,2551,1758,5813,1,62
63,2374,1720,4974,1,63
64,2531,1723,5831,1,64
65,2544,1675,7314,1,65
66,2543,1709,6532,1,66
67,2475,1628,6741,1,67
68,2482,1691,6187,1,68
69,2588,1754,6701,1,69
70,2483,1665,6735,1,70
71,2355,1685,5305,1,71
72,2302,1653,4583,1,72
73,2397,1704,4453,1,73
74,2535,1772,5027,1,74
75,2651,1793,5948,1,75
76,2434,1744,4894,1,76
77,2288,1763,3811,1,77
78,2388,1683,4288,1,78
79,2512,1768,5362,1,79
80,2488,1752,5372,1,80
81,2505,1699,5168,1,81
