 ,Mean,Min,Max,Ch,Frame
1,2417,1747,4368,1,1
2,2534,1890,4454,1,2
3,2552,1766,4542,1,3
4,2466,1802,4838,1,4
5,2406,1824,4339,1,5
6,2588,1841,5502,1,6
7,2745,1914,6940,1,7
8,2804,1845,7884,1,8
9,2504,1738,5311,1,9
10,2417,1838,4007,1,10
11,2587,1827,4521,1,11
12,2672,1815,5764,1,12
13,2662,1824,6155,1,13
14,2485,1785,5104,1,14
15,2570,1758,5714,1,15
16,2456,1830,6407,1,16
17,2548,1839,5414,1,17
18,2477,1783,5459,1,18
19,2554,1717,6209,1,19
20,2682,1853,6751,1,20
21,2652,1803,6914,1,21
22,2447,1654,5553,1,22
23,2273,1758,4171,1,23
24,2209,1755,3134,1,24
25,2212,1758,3053,1,25
26,2208,1684,2925,1,26
27,2344,1791,3355,1,27
28,2472,1728,3910,1,28
29,2681,1772,5698,1,29
30,2701,1769,7089,1,30
31,2556,1726,5213,1,31
32,2444,1757,4862,1,32
33,2350,1749,4035,1,33
34,2496,1740,4269,1,34
35,2490,1764,4496,1,35
36,2539,1705,5410,1,36
37,2669,1767,6121,1,37
38,2374,1745,5260,1,38
39,2216,1750,3102,1,39
40,2233,1690,3121,1,40
41,2332,1752,3408,1,41
42,2559,1798,6161,1,42
43,2676,1783,6273,1,43
44,2645,1707,6729,1,44
45,2453,1733,5404,1,45
46,2443,1727,5345,1,46
47,2361,1738,5191,1,47
48,2702,1748,8593,1,48
49,2755,1767,9200,1,49
50,2769,1746,8493,1,50
51,2498,1731,6991,1,51
52,2553,1741,6936,1,52
53,2644,1649,7473,1,53
54,2613,1709,7288,1,54
55,2578,1733,6701,1,55
56,2365,1683,5047,1,56
57,2307,1773,5178,1,57
58,2319,1714,5264,1,58
59,2394,1683,6421,1,59
60,2440,1818,6700,1,60
61,2487,1723,6592,1,61
62,2429,1748,5985,1,62
63,2472,1753,7178,1,63
64,2502,1733,6762,1,64
65,2442,1748,6880,1,65
66,2361,1721,5267,1,66
67,2272,1715,4596,1,67
68,2294,1710,4730,1,68
69,2353,1738,5300,1,69
70,2409,1613,6711,1,70
71,2350,1694,5847,1,71
72,2363,1732,5860,1,72
73,2392,1714,5839,1,73
74,2433,1710,6237,1,74
75,2443,1713,6953,1,75
76,2523,1743,6981,1,76
77,2485,1677,6718,1,77
78,2420,1662,6101,1,78
79,2402,1680,6445,1,79
80,2484,1688,5969,1,80
81,2503,1740,6669,1,81
