 ,Mean,Min,Max,Ch,Frame
1,2539,1942,3373,1,1
2,2374,1850,3157,1,2
3,2362,1831,3121,1,3
4,2412,1852,3131,1,4
5,2303,1832,3089,1,5
6,2332,1789,3131,1,6
7,2328,1795,3036,1,7
8,2353,1819,3065,1,8
9,2327,1850,3138,1,9
10,2371,1831,3137,1,10
11,2352,1864,3012,1,11
12,2371,1862,3028,1,12
13,2339,1812,3105,1,13
14,2319,1786,3002,1,14
15,2264,1759,3046,1,15
16,2320,1803,3009,1,16
17,2277,1730,2814,1,17
18,2329,1779,2991,1,18
19,2255,1664,2884,1,19
20,2340,1761,3030,1,20
21,2285,1815,2832,1,21
22,2215,1699,2846,1,22
23,2245,1745,2832,1,23
24,2312,1786,2785,1,24
25,2287,1825,2927,1,25
26,2245,1773,2783,1,26
27,2263,1769,3031,1,27
28,2416,1856,3351,1,28
29,2429,1755,3634,1,29
30,2326,1659,3421,1,30
31,2285,1745,2877,1,31
32,2336,1825,3139,1,32
33,2319,1738,2922,1,33
34,2331,1773,3378,1,34
35,2438,1745,4356,1,35
36,2234,1737,2747,1,36
37,2161,1717,2778,1,37
38,2229,1681,3043,1,38
39,2409,1745,3736,1,39
40,2441,1809,3721,1,40
41,2507,1805,4159,1,41
42,2424,1777,3825,1,42
43,2421,1836,4474,1,43
44,2472,1761,4899,1,44
45,2350,1794,3865,1,45
46,2276,1701,3288,1,46
47,2465,1703,3796,1,47
48,2474,1762,4078,1,48
49,2358,1739,3601,1,49
50,2393,1749,3745,1,50
51,2400,1728,3729,1,51
52,2337,1675,3501,1,52
53,2412,1735,3587,1,53
54,2298,1709,4349,1,54
55,2395,1781,4829,1,55
56,2448,1820,4922,1,56
57,2416,1737,5731,1,57
58,2392,1744,4854,1,58
59,2382,1728,5565,1,59
60,2344,1556,5767,1,60
61,2395,1773,5597,1,61
62,2450,1747,5886,1,62
63,2325,1731,4956,1,63
64,2335,1710,4924,1,64
65,2346,1621,5085,1,65
66,2354,1709,5456,1,66
67,2320,1717,4946,1,67
68,2401,1743,5805,1,68
69,2443,1684,6408,1,69
70,2305,1707,5207,1,70
71,2184,1673,3888,1,71
72,2244,1618,4633,1,72
73,2387,1717,5274,1,73
74,2392,1697,5801,1,74
75,2420,1764,5114,1,75
76,2297,1670,4546,1,76
77,2391,1718,5351,1,77
78,2457,1741,5557,1,78
79,2324,1733,4903,1,79
80,2306,1636,4327,1,80
81,2307,1729,4924,1,81
