 ,Mean,Min,Max,Ch,Frame
1,2281,1709,3025,1,1
2,2396,1794,3094,1,2
3,2373,1779,3134,1,3
4,2379,1863,3114,1,4
5,2442,1861,3229,1,5
6,2466,1869,3210,1,6
7,2417,1802,3162,1,7
8,2356,1863,3086,1,8
9,2375,1794,3112,1,9
10,2378,1819,3108,1,10
11,2367,1746,3151,1,11
12,2331,1742,3120,1,12
13,2297,1776,3071,1,13
14,2361,1738,3247,1,14
15,2421,1787,3097,1,15
16,2358,1809,3086,1,16
17,2396,1816,3070,1,17
18,2325,1667,2954,1,18
19,2405,1752,2981,1,19
20,2317,1791,3044,1,20
21,2338,1792,2896,1,21
22,2413,1737,3476,1,22
23,2403,1798,3162,1,23
24,2352,1761,2954,1,24
25,2391,1734,3275,1,25
26,2328,1754,2993,1,26
27,2355,1732,3018,1,27
28,2442,1752,3574,1,28
29,2431,1773,3501,1,29
30,2356,1777,2984,1,30
31,2387,1749,3184,1,31
32,2423,1763,3410,1,32
33,2398,1781,3220,1,33
34,2408,1778,3220,1,34
35,2507,1894,3681,1,35
36,2610,1878,4823,1,36
37,2624,1857,4964,1,37
38,2509,1842,3936,1,38
39,2529,1772,4230,1,39
40,2471,1876,4036,1,40
41,2330,1749,3306,1,41
42,2339,1759,3142,1,42
43,2399,1775,4323,1,43
44,2498,1757,4636,1,44
45,2378,1722,3219,1,45
46,2499,1780,4174,1,46
47,2513,1693,4460,1,47
48,2654,1764,4712,1,48
49,2630,1818,4646,1,49
50,2596,1773,5201,1,50
51,2517,1737,3810,1,51
52,2511,1867,3830,1,52
53,2352,1736,3681,1,53
54,2520,1817,4279,1,54
55,2607,1651,5524,1,55
56,2565,1684,5966,1,56
57,2564,1686,6649,1,57
58,2605,1833,5455,1,58
59,2600,1747,5664,1,59
60,2598,1736,6465,1,60
61,2558,1702,6004,1,61
62,2617,1798,7006,1,62
63,2690,1882,7115,1,63
64,2559,1792,5547,1,64
65,2430,1853,4083,1,65
66,2462,1791,4639,1,66
67,2547,1789,6321,1,67
68,2636,1926,6603,1,68
69,2512,1806,5786,1,69
70,2533,1793,5199,1,70
71,2498,1754,5294,1,71
72,2487,1803,5849,1,72
73,2474,1750,6647,1,73
74,2474,1746,5662,1,74
75,2423,1663,6207,1,75
76,2447,1706,5326,1,76
77,2396,1691,5447,1,77
78,2384,1633,6705,1,78
79,2547,1663,6314,1,79
80,2629,1756,7286,1,80
81,2514,1686,6391,1,81
