 ,Mean,Min,Max,Ch,Frame
1,2435,1800,3728,1,1
2,2510,1853,4841,1,2
3,2626,1828,6589,1,3
4,2843,1849,8943,1,4
5,2610,1822,7000,1,5
6,2434,1742,4392,1,6
7,2321,1720,3626,1,7
8,2499,1743,6059,1,8
9,2505,1765,5148,1,9
10,2447,1678,5358,1,10
11,2445,1761,5926,1,11
12,2514,1815,5771,1,12
13,2464,1648,5046,1,13
14,2444,1732,4814,1,14
15,2447,1772,5024,1,15
16,2468,1745,5390,1,16
17,2407,1731,6499,1,17
18,2515,1776,6230,1,18
19,2540,1698,8409,1,19
20,2547,1711,7340,1,20
21,2454,1750,6076,1,21
22,2433,1751,6731,1,22
23,2404,1754,7245,1,23
24,2391,1760,6029,1,24
25,2600,1801,8301,1,25
26,2708,1745,9829,1,26
27,2448,1752,7108,1,27
28,2333,1737,4063,1,28
29,2407,1774,5070,1,29
30,2424,1711,6850,1,30
31,2501,1750,6868,1,31
32,2450,1707,6893,1,32
33,2494,1729,8053,1,33
34,2457,1665,7101,1,34
35,2378,1686,6764,1,35
36,2385,1689,5520,1,36
37,2390,1720,5704,1,37
38,2382,1746,5982,1,38
39,2429,1732,6762,1,39
40,2466,1696,6632,1,40
41,2328,1686,5139,1,41
42,2313,1685,5295,1,42
43,2350,1750,5181,1,43
44,2391,1742,6626,1,44
45,2461,1725,7361,1,45
46,2416,1676,6497,1,46
47,2461,1734,6848,1,47
48,2267,1690,5229,1,48
49,2268,1742,4784,1,49
50,2364,1676,5292,1,50
51,2466,1686,6422,1,51
52,2425,1715,6583,1,52
53,2428,1713,6637,1,53
54,2427,1737,6619,1,54
55,2399,1700,5142,1,55
56,2427,1725,6209,1,56
57,2419,1637,6080,1,57
58,2386,1666,5198,1,58
59,2332,1698,4703,1,59
60,2274,1717,4420,1,60
61,2343,1708,4894,1,61
62,2398,1728,6143,1,62
63,2361,1688,5392,1,63
64,2446,1748,6393,1,64
65,2347,1698,5706,1,65
66,2336,1688,5186,1,66
67,2333,1693,5270,1,67
68,2441,1714,6029,1,68
69,2564,1753,6382,1,69
70,2499,1740,5986,1,70
71,2400,1663,5077,1,71
72,2400,1713,5373,1,72
73,2550,1836,5587,1,73
74,2476,1775,5111,1,74
75,2332,1745,3999,1,75
76,2392,1790,4524,1,76
77,2392,1715,4748,1,77
78,2411,1728,4825,1,78
79,2453,1769,4387,1,79
80,2421,1710,4854,1,80
81,2470,1844,4879,1,81
