 ,Mean,Min,Max,Ch,Frame
1,2668,1866,8586,1,1
2,2603,1876,8564,1,2
3,2558,1783,6563,1,3
4,2413,1862,4279,1,4
5,2392,1829,4654,1,5
6,2491,1752,6169,1,6
7,2627,1861,8298,1,7
8,2750,1817,10252,1,8
9,2638,1878,8722,1,9
10,2483,1857,5860,1,10
11,2499,1802,6527,1,11
12,2481,1850,6531,1,12
13,2390,1787,5130,1,13
14,2471,1730,6523,1,14
15,2496,1813,8074,1,15
16,2575,1848,8277,1,16
17,2516,1806,7643,1,17
18,2469,1819,5943,1,18
19,2611,1783,8875,1,19
20,2497,1781,7093,1,20
21,2457,1753,6976,1,21
22,2440,1792,7589,1,22
23,2549,1748,7920,1,23
24,2496,1811,8080,1,24
25,2357,1790,5220,1,25
26,2429,1750,7044,1,26
27,2519,1860,7718,1,27
28,2574,1837,8571,1,28
29,2500,1767,7871,1,29
30,2470,1754,7043,1,30
31,2466,1804,8010,1,31
32,2462,1691,7160,1,32
33,2555,1756,7413,1,33
34,2640,1855,8615,1,34
35,2544,1800,7221,1,35
36,2558,1727,8174,1,36
37,2519,1814,7634,1,37
38,2400,1797,6786,1,38
39,2358,1723,5752,1,39
40,2381,1789,5440,1,40
41,2529,1793,7308,1,41
42,2571,1799,8438,1,42
43,2416,1766,6308,1,43
44,2361,1781,5409,1,44
45,2363,1771,5339,1,45
46,2472,1727,6631,1,46
47,2568,1828,7558,1,47
48,2769,1873,9165,1,48
49,2845,1857,8955,1,49
50,2816,1845,9257,1,50
51,2633,1852,7612,1,51
52,2498,1759,6674,1,52
53,2528,1764,6316,1,53
54,2562,1708,6843,1,54
55,2633,1823,7003,1,55
56,2626,1885,7311,1,56
57,2613,1791,7264,1,57
58,2546,1809,6794,1,58
59,2606,1798,6348,1,59
60,2661,1801,7193,1,60
61,2681,1855,7271,1,61
62,2646,1802,7327,1,62
63,2533,1785,5459,1,63
64,2519,1749,5317,1,64
65,2454,1730,5628,1,65
66,2547,1781,6567,1,66
67,2477,1730,6033,1,67
68,2501,1700,5465,1,68
69,2449,1784,5383,1,69
70,2425,1825,5073,1,70
71,2494,1687,5791,1,71
72,2593,1723,5977,1,72
73,2611,1787,6490,1,73
74,2505,1806,5187,1,74
75,2505,1799,4913,1,75
76,2527,1796,5051,1,76
77,2636,1741,5508,1,77
78,2660,1817,6164,1,78
79,2693,1783,5825,1,79
80,2693,1823,6459,1,80
81,2571,1763,5310,1,81
