 ,Mean,Min,Max,Slice,microns
1,703,0,2780,1,0
2,864,0,3075,2,1
3,1045,0,4158,3,2
4,881,0,4262,4,3
5,753,0,3367,5,4
6,968,0,3699,6,5
7,760,0,3394,7,6
8,1027,0,3609,8,7
9,741,0,4288,9,8
10,692,0,2689,10,9
11,783,0,3270,11,10
12,782,0,2067,12,11
13,865,0,3015,13,12
14,744,0,3376,14,13
15,729,0,3596,15,14
16,714,0,3676,16,15
17,946,0,3284,17,16
18,754,0,3271,18,17
19,872,0,3575,19,18
20,760,0,3460,20,19
21,757,0,3147,21,20
22,843,0,3266,22,21
23,732,0,3370,23,22
24,821,0,4193,24,23
25,1025,0,4692,25,24
26,1004,0,4939,26,25
27,805,0,4863,27,26
28,819,0,4007,28,27
29,646,0,3399,29,28
30,721,0,2994,30,29
31,707,0,2967,31,30
32,783,0,3195,32,31
33,730,0,3397,33,32
34,897,0,4118,34,33
35,749,0,3875,35,34
36,728,0,3308,36,35
37,732,0,3144,37,36
38,714,0,2822,38,37
39,787,0,3101,39,38
40,803,0,3313,40,39
