 ,Mean,Min,Max,Slice,microns
1,1275,0,2768,1,0
2,1510,0,4016,2,1
3,1461,0,4638,3,2
4,1001,0,4672,4,3
5,1330,0,4071,5,4
6,1158,0,5156,6,5
7,1273,0,4493,7,6
8,1112,0,4974,8,7
9,1140,0,4514,9,8
10,1155,78,3283,10,9
11,1101,0,4189,11,10
12,1262,0,5249,12,11
13,1257,0,5501,13,12
14,1361,0,5359,14,13
15,1241,0,2801,15,14
16,978,0,3114,16,15
17,1148,0,2907,17,16
18,892,0,2955,18,17
19,865,0,3089,19,18
20,1109,0,2698,20,19
21,1307,0,3602,21,20
22,1604,0,7276,22,21
23,1460,0,5254,23,22
24,1408,0,4744,24,23
25,1178,0,4100,25,24
26,1107,0,2829,26,25
27,973,0,2785,27,26
28,1153,0,2870,28,27
29,1062,0,4587,29,28
30,1324,0,4256,30,29
31,1356,0,4057,31,30
32,1340,0,4150,32,31
33,1344,0,3694,33,32
34,1205,0,3046,34,33
35,982,0,2638,35,34
36,1042,0,2567,36,35
37,1305,0,3565,37,36
38,1150,0,4752,38,37
39,1503,0,5196,39,38
40,1080,0,3589,40,39
