 ,Mean,Min,Max,Slice,microns
1,925,0,2582,1,0
2,905,0,3051,2,1
3,994,0,4054,3,2
4,885,0,4205,4,3
5,786,0,4601,5,4
6,748,0,3740,6,5
7,841,0,2977,7,6
8,690,0,3170,8,7
9,999,0,3955,9,8
10,789,0,4565,10,9
11,930,0,3860,11,10
12,884,0,4071,12,11
13,746,0,4235,13,12
14,879,0,3835,14,13
15,879,0,4556,15,14
16,699,0,4453,16,15
17,754,0,2913,17,16
18,658,0,2671,18,17
19,722,0,2947,19,18
20,1003,0,5694,20,19
21,992,0,5722,21,20
22,999,0,7227,22,21
23,873,0,4175,23,22
24,732,0,3788,24,23
25,909,0,3862,25,24
26,826,0,2970,26,25
27,785,0,3118,27,26
28,726,0,3728,28,27
29,1008,0,5575,29,28
30,977,0,5136,30,29
31,1054,0,5155,31,30
32,869,0,5044,32,31
33,1025,0,5061,33,32
34,1040,0,4902,34,33
35,1059,0,5571,35,34
36,797,0,5191,36,35
37,1155,0,5599,37,36
38,934,0,5762,38,37
39,1026,0,5790,39,38
40,850,0,5678,40,39
