 ,Mean,Min,Max,Slice,microns
1,1032,0,2306,1,0
2,1111,0,2685,2,1
3,1123,0,3127,3,2
4,1239,0,4067,4,3
5,1397,0,4506,5,4
6,1323,0,4339,6,5
7,1148,0,3171,7,6
8,1024,0,3084,8,7
9,1148,0,2898,9,8
10,1198,0,3314,10,9
11,1099,0,3348,11,10
12,1214,0,3629,12,11
13,1123,0,4300,13,12
14,1221,0,4614,14,13
15,1269,0,5749,15,14
16,1280,0,5284,16,15
17,1302,0,4646,17,16
18,1267,0,4823,18,17
19,1257,24,4210,19,18
20,1203,0,4237,20,19
21,1145,0,4500,21,20
22,1175,0,4594,22,21
23,1281,0,5114,23,22
24,1279,0,5025,24,23
25,1266,0,4774,25,24
26,1305,0,5602,26,25
27,1210,0,4814,27,26
28,1250,0,4584,28,27
29,1168,0,4359,29,28
30,1078,0,4096,30,29
31,1213,0,4432,31,30
32,1215,0,4756,32,31
33,1296,0,5027,33,32
34,1235,0,5817,34,33
35,1294,0,4734,35,34
36,1290,0,4875,36,35
37,1266,0,5384,37,36
38,1354,0,6432,38,37
39,1351,0,4628,39,38
40,1292,0,4030,40,39
