 ,Mean,Min,Max,Slice,microns
1,861,0,2817,1,0
2,1112,0,2516,2,1
3,971,0,2738,3,2
4,966,0,2387,4,3
5,904,0,2374,5,4
6,870,0,2793,6,5
7,1121,0,2810,7,6
8,1026,0,3423,8,7
9,886,0,3133,9,8
10,895,0,2835,10,9
11,840,0,2215,11,10
12,882,0,2353,12,11
13,873,0,2812,13,12
14,853,0,2303,14,13
15,992,0,2419,15,14
16,846,0,2589,16,15
17,833,0,2932,17,16
18,870,0,2622,18,17
19,1239,0,3123,19,18
20,926,0,3393,20,19
21,884,0,2562,21,20
22,740,0,2461,22,21
23,1096,0,2696,23,22
24,932,0,2372,24,23
25,1013,0,2307,25,24
26,1214,0,3043,26,25
27,1007,0,3249,27,26
28,1139,0,4094,28,27
29,934,0,3909,29,28
30,696,0,2200,30,29
31,1019,0,2445,31,30
32,810,0,2160,32,31
33,1126,0,2906,33,32
34,1169,0,3555,34,33
35,1045,0,4017,35,34
36,1085,0,3552,36,35
37,880,0,2847,37,36
38,927,0,2398,38,37
39,815,0,2370,39,38
40,1106,0,2815,40,39
