 ,Mean,Min,Max,Slice,microns
1,664,0,2550,1,0
2,605,0,2444,2,1
3,657,0,2392,3,2
4,673,0,2391,4,3
5,734,0,2878,5,4
6,706,0,3118,6,5
7,772,0,3792,7,6
8,680,0,3113,8,7
9,765,0,2816,9,8
10,679,0,4423,10,9
11,825,0,3093,11,10
12,805,0,3244,12,11
13,781,0,2309,13,12
14,571,0,2310,14,13
15,474,0,2303,15,14
16,619,0,2501,16,15
17,853,0,2301,17,16
18,676,0,2826,18,17
19,764,0,2399,19,18
20,574,0,2829,20,19
21,819,0,3347,21,20
22,837,0,4460,22,21
23,789,0,3270,23,22
24,985,0,4432,24,23
25,845,0,4253,25,24
26,756,0,2948,26,25
27,764,0,2721,27,26
28,637,0,2621,28,27
29,671,0,2607,29,28
30,709,0,2198,30,29
31,834,0,2197,31,30
32,895,0,2717,32,31
33,1017,0,6411,33,32
34,932,0,3829,34,33
35,864,0,3069,35,34
36,826,0,3459,36,35
37,757,0,3722,37,36
38,743,0,3322,38,37
39,1060,0,3060,39,38
40,774,0,2895,40,39
