 ,Mean,Min,Max,Slice,microns
1,412,253,898,1,0
2,409,243,896,2,1
3,404,226,903,3,2
4,410,236,802,4,3
5,424,231,897,5,4
6,435,253,896,6,5
7,476,262,1169,7,6
8,483,265,1269,8,7
9,494,248,1485,9,8
10,496,229,1747,10,9
11,518,253,1741,11,10
12,512,251,1694,12,11
13,502,240,1493,13,12
14,467,232,1213,14,13
15,454,244,986,15,14
16,442,231,993,16,15
17,442,244,902,17,16
18,452,252,888,18,17
19,447,240,950,19,18
20,467,227,1123,20,19
21,482,261,1265,21,20
22,489,257,1281,22,21
23,483,213,1451,23,22
24,485,257,1421,24,23
25,462,263,1346,25,24
26,457,243,1258,26,25
27,445,246,1068,27,26
28,440,262,1074,28,27
29,439,241,1047,29,28
30,435,244,1112,30,29
31,434,239,969,31,30
32,442,259,913,32,31
33,441,249,1043,33,32
34,458,260,1096,34,33
35,471,258,1168,35,34
36,491,237,1269,36,35
37,476,229,1224,37,36
38,482,246,1209,38,37
39,483,252,1097,39,38
40,480,260,1123,40,39
41,491,237,1157,41,40
42,498,260,1276,42,41
43,487,262,1201,43,42
44,501,252,1234,44,43
45,484,250,1254,45,44
46,477,269,1137,46,45
47,472,256,1201,47,46
48,439,269,1017,48,47
49,432,273,1086,49,48
50,441,258,964,50,49
51,429,250,927,51,50
52,415,241,925,52,51
53,426,258,877,53,52
54,417,258,850,54,53
55,429,246,864,55,54
56,444,258,1032,56,55
57,458,265,1086,57,56
58,466,257,1138,58,57
59,459,259,1051,59,58
60,445,261,1023,60,59
61,451,207,928,61,60
62,466,275,1090,62,61
63,474,261,1125,63,62
64,476,258,1199,64,63
65,464,264,1149,65,64
66,473,286,1175,66,65
67,472,266,1062,67,66
68,473,241,1126,68,67
69,474,274,1170,69,68
70,474,263,1106,70,69
71,461,271,997,71,70
72,450,248,960,72,71
73,435,254,921,73,72
74,424,241,855,74,73
75,419,244,839,75,74
76,410,265,774,76,75
77,411,263,746,77,76
78,404,271,693,78,77
79,414,274,710,79,78
80,436,247,900,80,79
81,443,270,902,81,80
82,460,275,1067,82,81
83,463,243,1120,83,82
84,484,265,1199,84,83
85,504,277,1291,85,84
86,507,265,1341,86,85
87,489,286,1198,87,86
88,459,232,1059,88,87
89,457,250,1029,89,88
90,467,298,1120,90,89
91,459,269,947,91,90
92,443,267,906,92,91
93,440,264,778,93,92
94,440,271,895,94,93
95,421,244,734,95,94
96,415,254,729,96,95
97,402,268,721,97,96
98,392,241,563,98,97
99,402,284,603,99,98
100,400,242,635,100,99
101,412,271,642,101,100
102,403,277,670,102,101
103,406,253,671,103,102
104,406,246,681,104,103
105,411,259,702,105,104
106,421,264,794,106,105
107,419,277,764,107,106
108,411,243,661,108,107
109,409,262,682,109,108
110,406,269,624,110,109
111,405,268,608,111,110
112,403,253,630,112,111
113,401,264,637,113,112
114,407,287,695,114,113
115,423,292,702,115,114
116,424,263,676,116,115
117,425,280,691,117,116
118,411,273,695,118,117
119,401,270,583,119,118
120,392,268,569,120,119
121,383,266,543,121,120
122,378,248,516,122,121
123,367,264,495,123,122
124,376,265,516,124,123
125,378,261,513,125,124
126,383,260,535,126,125
127,379,256,518,127,126
128,389,287,597,128,127
129,401,283,601,129,128
130,403,220,614,130,129
131,422,285,742,131,130
132,445,296,872,132,131
133,454,274,932,133,132
134,466,280,921,134,133
135,468,308,959,135,134
136,476,274,1101,136,135
137,472,303,975,137,136
138,471,289,992,138,137
139,468,281,1004,139,138
140,480,253,1035,140,139
141,470,281,915,141,140
142,476,281,897,142,141
143,475,313,974,143,142
144,468,299,951,144,143
145,477,282,924,145,144
146,474,288,910,146,145
147,462,286,914,147,146
148,464,307,843,148,147
149,462,289,855,149,148
150,464,291,873,150,149
151,447,288,837,151,150
152,449,285,758,152,151
153,451,261,813,153,152
154,462,327,802,154,153
155,436,287,754,155,154
156,418,263,709,156,155
157,429,285,683,157,156
158,438,276,804,158,157
159,448,248,873,159,158
160,453,276,873,160,159
161,442,253,799,161,160
162,452,308,912,162,161
163,448,308,812,163,162
164,434,275,706,164,163
165,416,243,674,165,164
166,401,275,551,166,165
167,404,256,621,167,166
168,408,274,592,168,167
169,406,288,537,169,168
170,397,253,539,170,169
171,397,279,558,171,170
172,407,282,619,172,171
173,415,273,593,173,172
174,416,304,610,174,173
175,411,289,578,175,174
176,408,261,595,176,175
177,415,272,602,177,176
