 ,Mean,Min,Max,Slice,microns
1,2059,1237,4829,1,0
2,1990,1295,3738,2,1
3,1923,1251,3572,3,2
4,1845,1216,3130,4,3
5,1796,1251,2687,5,4
6,1782,1204,2266,6,5
7,1739,1243,2198,7,6
8,1723,1174,2234,8,7
9,1722,1190,2240,9,8
10,1722,1132,2215,10,9
11,1720,1217,2332,11,10
12,1693,1149,2207,12,11
13,1680,1122,2184,13,12
14,1676,1121,2183,14,13
15,1693,1147,2202,15,14
16,1710,1161,2425,16,15
17,1720,1163,2321,17,16
18,1720,1203,2363,18,17
19,1727,1147,2401,19,18
20,1728,1186,2672,20,19
21,1752,1098,2724,21,20
22,1764,1155,3136,22,21
23,1792,1177,3625,23,22
24,1781,1169,3529,24,23
25,1790,1198,3409,25,24
26,1801,1150,3535,26,25
27,1804,1186,3730,27,26
28,1820,1229,3769,28,27
29,1786,1156,3593,29,28
30,1772,1191,3640,30,29
31,1821,1178,3956,31,30
32,1786,1170,3854,32,31
33,1784,1161,3642,33,32
34,1802,1149,3879,34,33
35,1796,1120,3846,35,34
36,1815,1086,3848,36,35
37,1832,1190,4049,37,36
38,1808,1139,4067,38,37
39,1790,1183,3777,39,38
40,1783,1089,3762,40,39
41,1770,1151,3719,41,40
42,1789,1115,3837,42,41
43,1776,1130,3655,43,42
44,1793,1198,3818,44,43
45,1832,1173,3946,45,44
46,1825,1148,4186,46,45
47,1822,1184,4465,47,46
48,1843,1142,4350,48,47
49,1842,1079,4248,49,48
50,1835,1194,4363,50,49
51,1803,1164,4198,51,50
52,1795,1178,4157,52,51
53,1796,1153,4180,53,52
54,1782,1142,4192,54,53
55,1753,1027,3783,55,54
56,1726,1123,3293,56,55
57,1721,1157,3108,57,56
58,1709,1152,3205,58,57
59,1690,1093,3270,59,58
60,1699,1137,3175,60,59
61,1686,1082,3118,61,60
62,1697,1032,2868,62,61
63,1710,1155,3255,63,62
64,1722,1098,3382,64,63
65,1725,1178,3684,65,64
66,1727,1145,3578,66,65
67,1732,1087,3609,67,66
68,1753,1141,3666,68,67
69,1761,1141,3687,69,68
70,1785,1131,4009,70,69
71,1819,1140,4527,71,70
72,1830,1176,4388,72,71
